crop_id,quality,price,energy,health,edible
1,1,35,25,11,True
1,2,43,35,15,True
1,3,52,45,20,True
1,4,70,65,29,True
2,1,50,45,20,True
2,2,62,63,28,True
2,3,75,81,36,True
2,4,100,117,52,True
3,1,175,75,33,True
3,2,218,105,47,True
3,3,262,135,60,True
3,4,350,195,87,True
4,1,60,20,9,True
4,2,75,28,12,True
4,3,90,36,16,True
4,4,120,52,23,True
5,1,40,25,11,True
5,2,50,35,15,True
5,3,60,45,20,True
5,4,80,65,29,True
6,1,110,50,22,True
6,2,137,70,31,True
6,3,165,90,40,True
6,4,220,130,58,True
7,1,80,25,11,True
7,2,100,35,15,True
7,3,120,45,20,True
7,4,160,65,29,True
8,1,120,50,22,True
8,2,150,70,31,True
8,3,180,90,40,True
8,4,240,130,58,True
9,1,30,45,20,True
9,2,37,63,28,True
9,3,45,81,36,True
9,4,60,117,52,True
10,1,30,3,1,True
10,2,37,4,1,True
10,3,45,5,2,True
10,4,60,7,3,True
11,1,50,25,11,True
11,2,62,35,15,True
11,3,75,45,20,True
11,4,100,65,29,True
12,1,50,25,11,True
12,2,62,35,15,True
12,3,75,45,20,True
12,4,100,65,29,True
13,1,25,45,20,True
13,2,31,63,28,True
13,3,37,81,36,True
13,4,50,117,52,True
14,1,40,13,5,True
14,2,50,18,8,True
14,3,60,23,10,True
14,4,80,33,14,True
15,1,250,113,50,True
15,2,312,158,71,True
15,3,375,203,91,True
15,4,500,293,131,True
16,1,140,45,20,True
16,2,175,63,28,True
16,3,210,81,36,True
16,4,280,117,52,True
17,1,90,45,20,True
17,2,112,63,28,True
17,3,135,81,36,True
17,4,180,117,52,True
18,1,260,75,33,True
18,2,325,105,47,True
18,3,390,135,60,True
18,4,520,195,87,True
19,1,90,45,20,True
19,2,112,63,28,True
19,3,135,81,36,True
19,4,180,117,52,True
20,1,80,45,20,True
20,2,100,63,28,True
20,3,120,81,36,True
20,4,160,117,52,True
21,1,60,20,9,True
21,2,70,28,12,True
21,3,90,36,16,True
21,4,120,52,23,True
22,1,25,0,0,False
22,2,31,0,0,False
22,3,37,0,0,False
22,4,50,0,0,False
23,1,150,50,22,True
23,2,187,70,31,True
23,3,225,90,40,True
23,4,300,130,58,True
24,1,160,30,13,True
24,2,200,42,18,True
24,3,240,54,24,True
24,4,320,78,35,True
25,1,100,30,13,True
25,2,125,42,18,True
25,3,150,54,24,True
25,4,200,78,35,True
26,1,80,25,11,True
26,2,100,35,15,True
26,3,120,45,20,True
26,4,160,65,29,True
27,1,75,38,17,True
27,2,93,53,23,True
27,3,112,68,30,True
27,4,150,98,44,True
28,1,60,20,9,True
28,2,75,28,12,True
28,3,90,36,16,True
28,4,120,52,23,True
29,1,290,45,20,True
29,2,362,63,28,True
29,3,435,81,36,True
29,4,580,117,52,True
30,1,80,38,17,True
30,2,100,53,23,True
30,3,120,68,30,True
30,4,160,98,44,True
31,1,320,0,0,False
31,2,400,0,0,False
31,3,480,0,0,False
31,4,640,0,0,False
32,1,160,45,20,True
32,2,200,63,28,True
32,3,240,81,36,True
32,4,320,117,52,True
